cbsa,year,qtr,qcew_avg_wkly_wage,qcew_employment
13980,2016,3,818,70279
13980,2016,4,794,69687
14010,2016,1,898,88318
14010,2016,2,1138,88622
14010,2016,3,976,89428
14010,2016,4,919,89115
14020,2016,1,828,65980
14020,2016,2,786,65512
14020,2016,3,828,68061
14020,2016,4,781,67200
14260,2016,1,786,290595
14260,2016,2,810,297626
14260,2016,3,850,300861
14260,2016,4,878,299270
14500,2016,1,1176,173752
14500,2016,2,1140,178044
14500,2016,3,1216,178361
14500,2016,4,1237,179831
14540,2016,1,750,71025
14540,2016,2,749,72534
14540,2016,3,777,73468
14540,2016,4,784,73925
14740,2016,1,884,85645
14740,2016,2,889,87002
14740,2016,3,981,86368
14740,2016,4,969,87257
14860,2016,1,1903,419224
14860,2016,2,1532,431615
14860,2016,3,1479,424322
14860,2016,4,1677,426274
15180,2016,1,588,137851
15180,2016,2,602,139355
15180,2016,3,636,138304
15180,2016,4,639,140626
15260,2016,1,763,40512
15260,2016,2,731,42522
15260,2016,3,774,41900
15260,2016,4,779,41708
15380,2016,1,874,531966
15380,2016,2,867,546621
15380,2016,3,889,545950
15380,2016,4,922,547097
15500,2016,1,712,58966
15500,2016,2,747,59160
15500,2016,3,748,60437
15500,2016,4,768,61160
15540,2016,1,935,118661
15540,2016,2,946,122261
15540,2016,3,973,121543
15540,2016,4,1004,121215
15940,2016,1,725,162527
15940,2016,2,727,166194
15940,2016,3,769,165492
15940,2016,4,793,165985
15980,2016,1,769,253573
15980,2016,2,803,242019
15980,2016,3,806,247888
15980,2016,4,843,260137
16020,2016,1,698,43355
16020,2016,2,721,43862
16020,2016,3,734,43566
16020,2016,4,770,44301
16180,2016,1,854,28041
16180,2016,2,878,28722
16180,2016,3,949,28586
16180,2016,4,960,28963
16220,2016,1,860,38849
16220,2016,2,859,39067
16220,2016,3,881,38055
16220,2016,4,929,37569
16300,2016,1,933,140465
16300,2016,2,922,144076
16300,2016,3,975,142846
16300,2016,4,1028,142472
16540,2016,1,733,58259
16540,2016,2,771,57818
16540,2016,3,830,58132
16540,2016,4,812,58593
16580,2016,1,842,96498
16580,2016,2,845,97605
16580,2016,3,882,98275
16580,2016,4,929,97844
16620,2016,1,844,108241
16620,2016,2,861,109059
16620,2016,3,883,107986
16620,2016,4,872,107516
16700,2016,1,870,318048
16700,2016,2,864,327277
16700,2016,3,893,325746
16700,2016,4,917,328109
16740,2016,1,1129,1115447
16740,2016,2,976,1128430
16740,2016,3,1031,1137089
16740,2016,4,1043,1151283
16820,2016,1,916,106968
16820,2016,2,895,109740
16820,2016,3,1000,111007
16820,2016,4,999,108949
16860,2016,1,833,235087
16860,2016,2,835,238718
16860,2016,3,854,239193
16860,2016,4,946,240846
16940,2016,1,824,45289
16940,2016,2,824,46241
16940,2016,3,872,45554
16940,2016,4,878,45648
16984,2016,1,1192,4378987
16984,2016,2,1084,4505618
16984,2016,3,1107,4485284
16984,2016,4,1181,4501256
17020,2016,1,722,79013
17020,2016,2,747,80680
17020,2016,3,780,82800
17020,2016,4,789,81384
17140,2016,1,1003,1008399
17140,2016,2,958,1030712
17140,2016,3,1011,1030241
17140,2016,4,1015,1036670
17300,2016,1,677,85516
17300,2016,2,702,85939
17300,2016,3,733,86440
17300,2016,4,756,87508
17420,2016,1,717,41771
17420,2016,2,726,42445
17420,2016,3,734,45484
17420,2016,4,774,49150
17660,2016,1,679,55201
17660,2016,2,675,60001
17660,2016,3,721,59876
17660,2016,4,739,57872
17780,2016,1,728,107916
17780,2016,2,727,105151
17780,2016,3,774,109153
17780,2016,4,786,110435
17820,2016,1,871,265160
17820,2016,2,871,272912
17820,2016,3,927,274205
17820,2016,4,937,274280
17860,2016,1,768,92254
17860,2016,2,791,92399
17860,2016,3,833,93389
17860,2016,4,842,93532
17900,2016,1,828,367180
17900,2016,2,819,370221
17900,2016,3,858,373259
17900,2016,4,859,378216
17980,2016,1,806,115249
17980,2016,2,752,114171
17980,2016,3,790,114379
17980,2016,4,815,116145
18020,2016,1,1021,50342
18020,2016,2,921,50805
18020,2016,3,963,50595
18020,2016,4,973,50939
18140,2016,1,995,979175
18140,2016,2,946,1001279
18140,2016,3,996,1007641
18140,2016,4,994,1023966
18580,2016,1,841,185782
18580,2016,2,845,187940
18580,2016,3,889,187909
18580,2016,4,897,188568
18700,2016,1,915,36691
18700,2016,2,917,37031
18700,2016,3,944,37046
18700,2016,4,981,37142
18880,2016,1,753,105766
18880,2016,2,790,107534
18880,2016,3,819,107349
18880,2016,4,834,105382
19140,2016,1,807,67610
19140,2016,2,764,67280
19140,2016,3,782,67308
19140,2016,4,849,65137
19300,2016,1,621,69203
19300,2016,2,640,73458
19300,2016,3,679,70469
19300,2016,4,700,69211
19340,2016,1,848,177603
19340,2016,2,835,180869
19340,2016,3,886,181362
19340,2016,4,1015,181034
19460,2016,1,792,51216
19460,2016,2,807,51890
19460,2016,3,816,51266
19460,2016,4,837,51971
19500,2016,1,950,49364
19500,2016,2,925,49442
19500,2016,3,941,49773
19500,2016,4,933,49440
19660,2016,1,682,190104
19660,2016,2,718,186586
19660,2016,3,718,191871
19660,2016,4,750,193976
19740,2016,1,1193,1390609
19740,2016,2,1100,1428207
19740,2016,3,1164,1428747
19740,2016,4,1193,1433550
19780,2016,1,1044,347724
19780,2016,2,951,358373
19780,2016,3,1016,357643
19780,2016,4,1062,358876
20020,2016,1,720,54585
20020,2016,2,728,55322
20020,2016,3,776,55120
20020,2016,4,807,56279
20100,2016,1,758,65234
20100,2016,2,790,65869
20100,2016,3,832,66586
20100,2016,4,824,66660
20220,2016,1,777,57626
20220,2016,2,779,58801
20220,2016,3,831,57964
20220,2016,4,905,58367
20260,2016,1,774,123813
20260,2016,2,774,128157
20260,2016,3,855,127681
20260,2016,4,852,126051
20500,2016,1,1176,286836
20500,2016,2,1107,292962
20500,2016,3,1157,292017
20500,2016,4,1175,295066
20740,2016,1,780,80014
20740,2016,2,760,81889
20740,2016,3,803,82228
20740,2016,4,801,82093
20940,2016,1,673,62741
20940,2016,2,723,61423
20940,2016,3,758,62128
20940,2016,4,721,64435
21060,2016,1,743,55044
21060,2016,2,768,55935
21060,2016,3,784,55730
21060,2016,4,796,55108
21140,2016,1,850,126198
21140,2016,2,885,128680
21140,2016,3,869,128497
21140,2016,4,918,130350
21300,2016,1,856,35249
21300,2016,2,858,35978
21300,2016,3,843,35656
21300,2016,4,871,35893
21340,2016,1,692,295225
21340,2016,2,695,296981
21340,2016,3,730,300993
21340,2016,4,731,303113
21500,2016,1,767,121095
21500,2016,2,772,124179
21500,2016,3,794,123705
21500,2016,4,810,121546
21660,2016,1,754,149232
21660,2016,2,782,152934
21660,2016,3,812,153380
21660,2016,4,846,153904
21780,2016,1,808,149474
21780,2016,2,800,151785
21780,2016,3,833,152440
21780,2016,4,870,152564
21820,2016,1,939,35278
21820,2016,2,997,36965
21820,2016,3,1033,38002
21820,2016,4,993,35666
22020,2016,1,864,132584
22020,2016,2,861,136587
22020,2016,3,921,137462
22020,2016,4,936,136286
22140,2016,1,849,48613
22140,2016,2,830,47591
22140,2016,3,815,47783
22140,2016,4,841,47290
22180,2016,1,744,127764
22180,2016,2,741,128389
22180,2016,3,805,126993
22180,2016,4,791,128692
22220,2016,1,1022,226070
22220,2016,2,895,229934
22220,2016,3,887,231345
22220,2016,4,970,232772
22380,2016,1,753,59331
22380,2016,2,790,61526
22380,2016,3,818,63036
22380,2016,4,784,61130
22420,2016,1,810,131574
22420,2016,2,827,135082
22420,2016,3,856,134239
22420,2016,4,889,135475
22500,2016,1,745,81863
22500,2016,2,757,82057
22500,2016,3,759,82929
22500,2016,4,799,84183
22520,2016,1,696,53369
22520,2016,2,699,53264
22520,2016,3,735,53661
22520,2016,4,758,53675
22540,2016,1,801,45592
22540,2016,2,796,46730
22540,2016,3,848,47037
22540,2016,4,846,46450
22660,2016,1,898,148479
22660,2016,2,869,155534
22660,2016,3,939,156296
22660,2016,4,980,153938
22900,2016,1,704,107135
22900,2016,2,727,107715
22900,2016,3,727,108240
22900,2016,4,740,107914
23060,2016,1,820,203526
23060,2016,2,792,207067
23060,2016,3,823,208764
23060,2016,4,838,208544
23420,2016,1,772,363868
23420,2016,2,775,383066
23420,2016,3,807,385543
23420,2016,4,858,370858
23460,2016,1,650,36126
23460,2016,2,671,36588
23460,2016,3,695,36078
23460,2016,4,702,36428
23540,2016,1,796,129768
23540,2016,2,850,127404
23540,2016,3,875,131842
23540,2016,4,861,133302
23580,2016,1,809,81314
23580,2016,2,809,81547
23580,2016,3,861,82943
23580,2016,4,928,84353
23900,2016,1,705,34049
23900,2016,2,738,34418
23900,2016,3,779,35629
23900,2016,4,783,34799
24020,2016,1,799,51230
24020,2016,2,793,56986
24020,2016,3,776,55107
24020,2016,4,812,53294
24140,2016,1,646,42361
24140,2016,2,663,42368
24140,2016,3,701,42413
24140,2016,4,724,42419
24220,2016,1,763,52677
24220,2016,2,807,53640
24220,2016,3,848,53955
24220,2016,4,868,53291
24260,2016,1,686,41791
24260,2016,2,716,42501
24260,2016,3,741,42961
24260,2016,4,776,42057
24300,2016,1,748,58885
24300,2016,2,770,59799
24300,2016,3,805,60292
24300,2016,4,817,59679
24340,2016,1,849,534750
24340,2016,2,842,543672
24340,2016,3,890,543728
24340,2016,4,933,548880
24420,2016,1,630,25165
24420,2016,2,663,26416
24420,2016,3,679,26857
24420,2016,4,716,26259
24500,2016,1,714,34978
24500,2016,2,731,36153
24500,2016,3,754,35814
24500,2016,4,796,35357
24540,2016,1,895,99362
24540,2016,2,850,100020
24540,2016,3,913,100641
24540,2016,4,901,100385
24580,2016,1,878,166514
24580,2016,2,839,172244
24580,2016,3,883,171218
24580,2016,4,928,171775
24660,2016,1,824,347634
24660,2016,2,814,347001
24660,2016,3,841,350873
24660,2016,4,856,355811
24780,2016,1,801,74662
24780,2016,2,792,74599
24780,2016,3,847,76131
24780,2016,4,856,76414
24860,2016,1,813,379513
24860,2016,2,820,383105
24860,2016,3,848,384662
24860,2016,4,879,389466
25060,2016,1,812,147979
25060,2016,2,787,147709
25060,2016,3,799,147575
25060,2016,4,822,146775
25180,2016,1,749,98799
25180,2016,2,769,100140
25180,2016,3,794,100466
25180,2016,4,789,103682
25220,2016,1,633,41683
25220,2016,2,665,42080
25220,2016,3,675,42839
25220,2016,4,710,43312
25260,2016,1,753,44288
25260,2016,2,768,46878
25260,2016,3,801,47007
25260,2016,4,819,46052
25420,2016,1,943,315059
25420,2016,2,916,324119
25420,2016,3,982,320837
25420,2016,4,976,323069
25500,2016,1,723,62460
25500,2016,2,732,63456
25500,2016,3,761,64018
25500,2016,4,762,64710
25540,2016,1,1289,608682
25540,2016,2,1156,623649
25540,2016,3,1160,617851
25540,2016,4,1223,622204
25620,2016,1,653,59524
25620,2016,2,680,58847
25620,2016,3,733,60249
25620,2016,4,733,61338
25860,2016,1,704,147126
25860,2016,2,715,148142
25860,2016,3,739,148527
25860,2016,4,772,150393
25940,2016,1,678,70407
25940,2016,2,717,75034
25940,2016,3,734,72430
25940,2016,4,779,71672
25980,2016,1,738,18904
25980,2016,2,725,18727
25980,2016,3,755,19210
25980,2016,4,760,19145
26140,2016,1,655,32839
26140,2016,2,685,32074
26140,2016,3,689,32138
26140,2016,4,700,32555
26300,2016,1,622,36523
26300,2016,2,661,36834
26300,2016,3,686,36315
26300,2016,4,697,36228
26380,2016,1,926,87689
26380,2016,2,932,87115
26380,2016,3,956,85088
26380,2016,4,957,84258
26420,2016,1,1301,2876976
26420,2016,2,1172,2882494
26420,2016,3,1205,2871288
26420,2016,4,1248,2893469
26580,2016,1,772,127279
26580,2016,2,807,128333
26580,2016,3,815,129236
26580,2016,4,815,129151
26620,2016,1,1046,212581
26620,2016,2,1031,214069
26620,2016,3,1091,215691
26620,2016,4,1087,217552
26820,2016,1,755,61247
26820,2016,2,769,64231
26820,2016,3,811,63720
26820,2016,4,824,63464
26900,2016,1,963,971798
26900,2016,2,900,985693
26900,2016,3,947,999014
26900,2016,4,969,999618
26980,2016,1,876,89987
26980,2016,2,889,91469
26980,2016,3,943,92219
26980,2016,4,929,92526
27060,2016,1,939,49129
27060,2016,2,957,51742
27060,2016,3,963,51341
27060,2016,4,983,50314
27100,2016,1,863,56769
27100,2016,2,840,58719
27100,2016,3,891,58097
27100,2016,4,931,57489
27140,2016,1,785,256805
27140,2016,2,801,258918
27140,2016,3,817,258540
27140,2016,4,830,260297
27180,2016,1,736,64787
27180,2016,2,776,65662
27180,2016,3,759,66354
27180,2016,4,824,66395
27260,2016,1,932,629260
27260,2016,2,886,628478
27260,2016,3,914,640447
27260,2016,4,946,651635
27340,2016,1,600,48228
27340,2016,2,611,48269
27340,2016,3,660,48260
27340,2016,4,681,47887
27500,2016,1,807,64144
27500,2016,2,802,66077
27500,2016,3,840,65280
27500,2016,4,850,65310
27620,2016,1,738,74548
27620,2016,2,756,75444
27620,2016,3,769,75717
27620,2016,4,776,75758
27740,2016,1,699,76588
27740,2016,2,731,76624
27740,2016,3,753,77044
27740,2016,4,788,77304
27780,2016,1,678,52030
27780,2016,2,693,52634
27780,2016,3,733,52727
27780,2016,4,736,52565
27860,2016,1,686,53336
27860,2016,2,702,54094
27860,2016,3,724,54884
27860,2016,4,735,55122
27900,2016,1,723,77940
27900,2016,2,715,77037
27900,2016,3,749,76943
27900,2016,4,737,77920
27980,2016,1,793,75651
27980,2016,2,818,75581
27980,2016,3,853,75336
27980,2016,4,852,76878
28020,2016,1,940,136087
28020,2016,2,891,139625
28020,2016,3,905,142098
28020,2016,4,963,138870
28100,2016,1,748,42565
28100,2016,2,773,43455
28100,2016,3,802,43734
28100,2016,4,800,43925
28140,2016,1,977,1002000
28140,2016,2,953,1026379
28140,2016,3,980,1026633
28140,2016,4,1014,1033167
28420,2016,1,909,114260
28420,2016,2,911,128106
28420,2016,3,957,122225
28420,2016,4,949,114463
28660,2016,1,815,136437
28660,2016,2,792,137822
28660,2016,3,847,137500
28660,2016,4,862,139616
28700,2016,1,790,115638
28700,2016,2,757,115717
28700,2016,3,817,117418
28700,2016,4,832,116929
28740,2016,1,759,59070
28740,2016,2,807,61706
28740,2016,3,790,61361
28740,2016,4,824,60733
28940,2016,1,878,369662
28940,2016,2,868,374747
28940,2016,3,898,377607
28940,2016,4,961,378706
29020,2016,1,913,39525
29020,2016,2,852,39766
29020,2016,3,912,40397
29020,2016,4,878,40303
29100,2016,1,780,73029
29100,2016,2,775,74905
29100,2016,3,804,74427
29100,2016,4,821,75409
29180,2016,1,820,199195
29180,2016,2,827,195462
29180,2016,3,851,195030
29180,2016,4,877,195645
29200,2016,1,851,89314
29200,2016,2,823,90050
29200,2016,3,858,91254
29200,2016,4,879,91165
29340,2016,1,940,103411
29340,2016,2,914,105446
29340,2016,3,979,107772
29340,2016,4,1000,108049
29420,2016,1,662,47016
29420,2016,2,688,46776
29420,2016,3,709,47950
29420,2016,4,713,48633
29460,2016,1,745,210230
29460,2016,2,767,203552
29460,2016,3,783,209734
29460,2016,4,800,215297
29540,2016,1,823,230424
29540,2016,2,820,236918
29540,2016,3,865,236173
29540,2016,4,877,237366
29620,2016,1,917,204740
29620,2016,2,918,208026
29620,2016,3,926,210302
29620,2016,4,993,211362
29700,2016,1,649,97456
29700,2016,2,659,98101
29700,2016,3,680,99177
29700,2016,4,682,100159
29740,2016,1,683,70644
29740,2016,2,693,72522
29740,2016,3,703,72814
29740,2016,4,718,72426
29820,2016,1,864,924670
29820,2016,2,866,939577
29820,2016,3,948,947015
29820,2016,4,909,952384
29940,2016,1,675,49192
29940,2016,2,707,48265
29940,2016,3,732,50215
29940,2016,4,743,49852
30020,2016,1,686,44247
30020,2016,2,715,44535
30020,2016,3,755,44383
30020,2016,4,707,44537
30140,2016,1,742,48615
30140,2016,2,746,49902
30140,2016,3,791,49563
30140,2016,4,798,49962
30300,2016,1,713,26823
30300,2016,2,740,27413
30300,2016,3,785,28031
30300,2016,4,763,27799
30340,2016,1,731,48565
30340,2016,2,762,50037
30340,2016,3,779,49655
30340,2016,4,805,50014
30460,2016,1,837,259903
30460,2016,2,889,265537
30460,2016,3,904,268165
30460,2016,4,939,271361
30620,2016,1,790,49532
30620,2016,2,800,50678
30620,2016,3,828,50477
30620,2016,4,832,50979
30700,2016,1,799,172993
30700,2016,2,785,175172
30700,2016,3,839,176405
30700,2016,4,850,175329
30780,2016,1,833,329859
30780,2016,2,850,331789
30780,2016,3,866,332986
30780,2016,4,894,334605
30860,2016,1,627,55823
30860,2016,2,657,56602
30860,2016,3,688,57469
30860,2016,4,694,57878
30980,2016,1,808,95160
30980,2016,2,800,94097
30980,2016,3,846,93779
30980,2016,4,863,93934
31020,2016,1,859,37299
31020,2016,2,859,38386
31020,2016,3,921,38446
31020,2016,4,884,38458
31084,2016,1,1137,5852736
31084,2016,2,1086,5901366
31084,2016,3,1137,5920814
31084,2016,4,1245,6005356
31140,2016,1,928,621208
31140,2016,2,905,633471
31140,2016,3,940,636462
31140,2016,4,954,642852
31180,2016,1,755,139069
31180,2016,2,759,139951
31180,2016,3,808,140046
31180,2016,4,834,143271
31340,2016,1,754,98052
31340,2016,2,746,98819
31340,2016,3,785,98658
31340,2016,4,815,98948
31420,2016,1,753,96857
31420,2016,2,753,97302
31420,2016,3,774,97227
31420,2016,4,794,98861
31540,2016,1,964,369541
31540,2016,2,971,380646
31540,2016,3,993,379499
31540,2016,4,1002,382098
31700,2016,1,1084,197971
31700,2016,2,1050,201044
31700,2016,3,1136,200556
31700,2016,4,1203,204136
31740,2016,1,723,38293
31740,2016,2,732,38632
31740,2016,3,758,38449
31740,2016,4,754,38390
31860,2016,1,743,53566
31860,2016,2,776,53540
31860,2016,3,823,54167
31860,2016,4,804,54463
31900,2016,1,665,50131
31900,2016,2,679,51080
31900,2016,3,718,50929
31900,2016,4,735,50805
32580,2016,1,610,249550
32580,2016,2,626,248493
32580,2016,3,654,248769
32580,2016,4,648,256218
32780,2016,1,751,83261
32780,2016,2,750,85826
32780,2016,3,797,87442
32780,2016,4,802,87437
32820,2016,1,921,599406
32820,2016,2,914,604562
32820,2016,3,976,608951
32820,2016,4,1011,618644
32900,2016,1,749,72788
32900,2016,2,760,78248
32900,2016,3,810,81599
32900,2016,4,807,75767
33140,2016,1,697,39720
33140,2016,2,709,41068
33140,2016,3,758,40717
33140,2016,4,768,40543
33220,2016,1,1335,36648
33220,2016,2,997,37661
33220,2016,3,1019,37495
33220,2016,4,1050,36857
33260,2016,1,1248,85698
33260,2016,2,1187,84632
33260,2016,3,1176,84780
33260,2016,4,1289,86974
33340,2016,1,981,811233
33340,2016,2,941,828867
33340,2016,3,964,824874
33340,2016,4,1033,826013
33460,2016,1,1175,1823277
33460,2016,2,1083,1874939
33460,2016,3,1133,1886594
33460,2016,4,1149,1887209
33540,2016,1,709,57281
33540,2016,2,741,60036
33540,2016,3,786,59988
33540,2016,4,800,59319
33660,2016,1,818,168520
33660,2016,2,845,170231
33660,2016,3,886,169261
33660,2016,4,937,169929
33700,2016,1,841,178133
33700,2016,2,820,184719
33700,2016,3,888,189570
33700,2016,4,885,181742
33740,2016,1,711,76791
33740,2016,2,739,76962
33740,2016,3,740,76844
33740,2016,4,756,76672
33780,2016,1,899,40541
33780,2016,2,879,41877
33780,2016,3,891,41414
33780,2016,4,912,40935
33860,2016,1,778,162455
33860,2016,2,801,165033
33860,2016,3,827,164188
33860,2016,4,895,165648
34060,2016,1,910,62412
34060,2016,2,879,62034
34060,2016,3,928,63789
34060,2016,4,896,63733
34100,2016,1,683,43691
34100,2016,2,757,43636
34100,2016,3,735,44455
34100,2016,4,759,44591
34580,2016,1,841,48044
34580,2016,2,817,50522
34580,2016,3,872,50717
34580,2016,4,866,49626
34620,2016,1,693,45127
34620,2016,2,704,44685
34620,2016,3,735,46240
34620,2016,4,736,46290
34740,2016,1,770,60929
34740,2016,2,746,63499
34740,2016,3,780,62693
34740,2016,4,846,62211
34820,2016,1,615,148526
34820,2016,2,612,162139
34820,2016,3,645,156381
34820,2016,4,671,148529
34900,2016,1,955,73623
34900,2016,2,976,77531
34900,2016,3,1018,77747
34900,2016,4,1063,73138
34940,2016,1,838,144017
34940,2016,2,866,132486
34940,2016,3,868,137050
34940,2016,4,921,150204
34980,2016,1,999,886720
34980,2016,2,957,901106
34980,2016,3,1001,912539
34980,2016,4,1074,925389
35300,2016,1,1039,359214
35300,2016,2,1045,365044
35300,2016,3,1065,363289
35300,2016,4,1093,368682
35380,2016,1,951,543218
35380,2016,2,910,546462
35380,2016,3,951,546088
35380,2016,4,991,548601
35660,2016,1,891,59256
35660,2016,2,901,63488
35660,2016,3,854,64530
35660,2016,4,909,60465
35840,2016,1,778,284884
35840,2016,2,799,272980
35840,2016,3,829,278700
35840,2016,4,862,292609
35980,2016,1,1033,120558
35980,2016,2,1004,124249
35980,2016,3,1020,123183
35980,2016,4,1022,123287
36100,2016,1,668,99321
36100,2016,2,715,98707
36100,2016,3,718,99965
36100,2016,4,750,102708
36220,2016,1,971,67634
36220,2016,2,984,66281
36220,2016,3,1022,66902
36220,2016,4,1041,67412
36260,2016,1,756,240121
36260,2016,2,767,246242
36260,2016,3,801,248557
36260,2016,4,823,248809
36420,2016,1,885,593512
36420,2016,2,870,593631
36420,2016,3,912,596281
36420,2016,4,920,598473
36500,2016,1,897,108715
36500,2016,2,898,110499
36500,2016,3,950,111908
36500,2016,4,934,111845
36540,2016,1,895,465269
36540,2016,2,873,475189
36540,2016,3,937,474960
36540,2016,4,945,476357
36740,2016,1,846,1150730
36740,2016,2,835,1138954
36740,2016,3,869,1165864
36740,2016,4,903,1188883
36780,2016,1,991,91239
36780,2016,2,902,93472
36780,2016,3,926,93290
36780,2016,4,1005,93949
36980,2016,1,764,51433
36980,2016,2,805,52554
36980,2016,3,814,52141
36980,2016,4,828,52263
37100,2016,1,1077,320678
37100,2016,2,985,321870
37100,2016,3,1018,316778
37100,2016,4,1044,322673
37340,2016,1,847,197899
37340,2016,2,876,200059
37340,2016,3,932,203242
37340,2016,4,941,206149
37460,2016,1,708,81865
37460,2016,2,728,82452
37460,2016,3,751,81222
37460,2016,4,779,79875
37620,2016,1,724,37069
37620,2016,2,746,37660
37620,2016,3,752,37319
37620,2016,4,733,37562
37860,2016,1,756,165357
37860,2016,2,772,164508
37860,2016,3,782,167826
37860,2016,4,804,168595
37900,2016,1,1122,169412
37900,2016,2,913,170420
37900,2016,3,978,170345
37900,2016,4,1016,168154
38060,2016,1,963,1928633
38060,2016,2,963,1890536
38060,2016,3,989,1948743
38060,2016,4,987,1989861
38300,2016,1,1026,1085234
38300,2016,2,964,1114268
38300,2016,3,1014,1102978
38300,2016,4,1058,1104116
38340,2016,1,870,60177
38340,2016,2,844,63303
38340,2016,3,854,61957
38340,2016,4,897,61800
38540,2016,1,623,32614
38540,2016,2,638,34067
38540,2016,3,701,33428
38540,2016,4,702,33212
38860,2016,1,897,254037
38860,2016,2,871,275152
38860,2016,3,900,271010
38860,2016,4,952,265007
38900,2016,1,1060,1115251
38900,2016,2,1045,1138864
38900,2016,3,1095,1138720
38900,2016,4,1082,1146766
38940,2016,1,716,139151
38940,2016,2,767,133287
38940,2016,3,766,137894
38940,2016,4,799,142782
39300,2016,1,944,672802
39300,2016,2,943,698852
39300,2016,3,960,694426
39300,2016,4,993,696668
39340,2016,1,792,218843
39340,2016,2,800,225332
39340,2016,3,823,227050
39340,2016,4,857,228268
39380,2016,1,736,59268
39380,2016,2,745,60305
39380,2016,3,810,60432
39380,2016,4,800,60156
39460,2016,1,654,46978
39460,2016,2,709,44578
39460,2016,3,702,45925
39460,2016,4,731,47950
39540,2016,1,830,73093
39540,2016,2,847,75440
39540,2016,3,895,74845
39540,2016,4,942,74568
39580,2016,1,1018,576511
39580,2016,2,962,593165
39580,2016,3,1016,591406
39580,2016,4,1056,600677
39660,2016,1,749,63066
39660,2016,2,733,68810
